keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Inflation',de,Wohlstand,#cc0018,#cc0018,1,0.5614125
'Armut',de,Wohlstand,#f6001d,#cc0018,1,0.555863463125
'Hohe Kosten',de,Wohlstand,#76000e,#cc0018,1,0.5441805312499999
'Wohlstandsgefährdung',de,Wohlstand,#a00013,#cc0018,1,0.5125670175
'Geld sparen',de,Wohlstadn,#f5001d,#cc0018,1,0.4986510416666665
'Gas',de,Energie,#29c014,#29c014,1,0.4794875
'Solar',de,Energie,#32ea18,#29c014,1,0.4786575
'Windkraft',de,Energie,#20950f,#29c014,1,0.4705857873661989
'Energie sparen',de,Energie,#176a0b,#29c014,1,0.4703845937499998
'Energiekosten',de,Energie,#0e3f07,#29c014,1,0.4617094631672111
'Putin',de,Krieg,#8d8d8d,#8d8d8d,1,0.4539151550156249
'Russland',de,Krieg,#b7b7b7,#8d8d8d,2,0.4228879266406248
'Ukraine',de,Krieg,#8c8c8c,#8d8d8d,2,0.37773410268877505
'Krieg',de,Krieg,#616161,#8d8d8d,1,0.3705460201285585
'Kämpfe',de,Krieg,#363636,#8d8d8d,1,0.2844000461382296
'Existenzängste',de,Angst,#f59e09,#f59e09,1,0.2615824620417953
'Angst',de,Angst,#ca8307,#f59e09,1,0.3705460201285585
'Gefährdung',de,Angst,#754c04,#f59e09,1,0.2844000461382296
'Risiko',de,Angst,#aa6d00,#9f6805,1,0.2615824620417953
'Bedrohung',de,Angst,#ffa400,#f59e09,1,0.2615824620417953
